angle_deg,distance_cm,temp_c
163.6,29,28.8
163.6,28,28.8
163.6,28,28.7
163.6,28,28.7
163.6,28,28.7
163.6,29,28.8
163.6,29,28.8
163.6,28,28.8
163.6,29,28.8
162.8,29,28.8
160.5,29,28.8
161.4,29,28.7
164.1,30,28.7
164.8,28,28.7
163.9,29,28.7
163.4,28,28.7
163.5,28,28.7
163.5,28,28.8
163.5,28,28.8
166.6,27,28.8
174.6,29,28.9
182.9,24,28.9
185.5,25,28.9
184.2,22,28.8
184.2,22,28.8
184.3,21,28.8
184.3,21,28.8
184.2,21,28.8
184.3,21,28.8
184.2,21,28.8
183.6,22,28.8
182.7,22,28.8
183.0,23,28.8
183.1,22,29.0
183.0,23,29.0
183.1,23,29.0
183.1,22,29.0
183.1,23,29.0
183.1,22,29.0
179.8,23,28.8
177.6,23,28.8
179.2,20,28.8
181.7,20,28.9
181.8,20,28.9
181.6,19,28.9
181.9,19,28.9
181.6,19,28.9
181.8,19,28.9
181.7,19,28.8
184.2,19,28.8
191.0,24,28.8
198.2,24,28.7
202.9,26,28.6
203.2,26,28.6
202.7,26,28.6
203.0,26,27.7
203.0,26,27.7
202.9,26,27.7
202.9,27,27.8
202.2,26,27.8
202.1,26,27.8
201.3,24,27.7
201.7,24,27.7
201.7,24,27.7
201.7,23,27.8
201.6,24,27.8
201.7,24,27.8
201.6,24,27.8
201.7,24,27.8
201.7,24,27.8
201.7,24,27.9
201.7,24,27.9
201.6,25,27.9
201.7,24,27.9
200.6,24,27.9
199.1,24,27.9
199.9,24,27.9
202.1,24,27.9
201.5,22,27.9
201.4,21,27.8
201.5,22,27.8
201.5,22,27.8
201.4,22,27.8
201.4,22,27.7
203.9,23,27.7
211.1,25,27.7
219.7,28,27.6
223.0,35,27.6
222.0,33,27.6
221.9,35,26.3
222.1,34,26.3
222.1,35,26.3
222.0,34,26.2
222.0,35,26.2
222.1,35,26.2
221.5,35,26.2
220.9,36,26.2
221.0,35,26.2
221.2,35,26.3
221.2,36,26.3
221.1,36,26.3
221.2,35,26.3
221.2,35,26.3
221.2,35,26.3
218.6,36,26.3
215.6,32,26.3
216.3,30,26.3
217.4,30,26.4
218.0,30,26.5
217.8,30,26.5
218.0,30,26.5
218.2,30,26.4
218.1,30,26.4
218.1,30,26.4
220.6,31,26.4
227.3,36,26.4
234.7,37,26.4
240.2,35,25.6
240.4,34,25.6
240.1,34,25.6
240.3,35,25.1
240.2,35,25.1
240.3,35,25.1
240.2,35,25.1
240.4,35,25.1
240.8,35,25.1
240.2,35,25.0
240.2,35,25.0
240.4,35,25.0
240.3,34,25.0
240.3,34,25.0
240.3,35,25.0
240.3,34,25.0
240.3,34,25.0
240.3,34,25.0
240.3,34,25.0
240.3,35,25.0
240.3,34,25.0
240.3,34,25.0
239.2,34,25.0
237.4,35,25.0
239.5,36,25.0
241.0,34,25.1
240.1,33,25.1
240.2,33,25.1
240.1,32,25.0
240.1,32,25.0
240.0,31,25.0
240.1,31,25.0
243.3,32,25.0
250.0,32,25.0
257.5,19,24.8
261.7,9,24.8
261.2,16,24.8
260.8,10,24.7
261.2,16,24.6
261.1,9,24.6
261.1,16,24.6
261.1,12,24.6
260.6,12,24.6
259.9,16,24.6
260.0,11,24.5
260.2,13,24.5
260.2,21,24.5
260.4,18,24.5
260.2,15,24.5
260.3,13,24.5
260.3,10,24.5
260.3,17,24.5
257.6,14,24.5
254.7,24,24.5
255.6,19,24.5
258.0,13,24.5
259.1,10,24.5
259.0,15,24.5
259.2,17,24.5
259.1,16,24.4
259.3,14,24.4
259.2,17,24.4
262.3,7,24.4
268.7,17,24.4
276.5,22,24.4
281.1,23,24.4
280.7,22,24.4
280.2,22,24.4
280.5,22,24.4
280.4,20,24.3
280.5,20,24.3
280.4,20,24.3
280.6,20,24.4
280.6,21,24.4
280.2,21,24.4
280.5,22,24.4
280.6,21,24.4
280.5,21,24.4
280.5,21,24.4
280.5,21,24.4
280.5,21,24.4
280.5,21,24.5
280.5,21,24.5
280.5,21,24.5
280.5,21,24.3
280.5,21,24.3
280.5,21,24.3
280.1,21,24.5
278.4,21,24.5
279.6,21,24.5
281.0,20,24.5
280.0,18,24.5
280.4,18,24.5
280.3,18,24.5
280.3,18,24.5
280.4,18,24.5
280.4,18,24.5
283.0,17,24.5
292.8,18,24.5
300.3,17,24.5
301.6,18,24.5
299.9,14,24.5
300.0,18,24.5
300.2,19,24.8
300.3,16,24.8
300.1,19,24.8
300.2,15,24.8
299.8,18,24.8
299.3,16,24.8
299.1,17,24.8
298.6,17,24.8
298.9,16,24.8
299.0,15,24.8
298.8,19,24.8
298.9,16,24.8
298.9,17,24.8
298.8,18,24.8
296.5,16,24.8
293.5,18,24.8
295.0,17,24.8
296.4,16,24.8
296.7,17,24.6
296.8,16,24.6
296.9,17,24.6
296.8,16,24.6
296.9,16,24.6
296.9,16,24.6
299.9,16,24.6
307.0,19,24.7
314.4,15,24.7
319.3,63,24.7
318.0,67,25.5
318.0,68,25.5
318.1,73,25.5
318.1,73,25.6
318.1,71,25.6
318.0,71,25.6
318.2,72,25.7
318.0,82,25.7
317.7,75,25.7
317.9,62,25.7
318.0,69,25.7
317.9,72,25.7
318.0,71,25.6
318.0,70,25.6
317.9,70,25.6
318.0,70,25.6
318.0,71,25.6
318.0,70,25.6
318.0,70,25.5
318.0,71,25.5
317.9,70,25.5
317.1,59,25.6
315.7,26,25.6
317.6,24,25.6
319.5,77,25.6
318.5,73,25.5
318.4,78,25.5
318.4,77,25.6
318.5,77,25.6
318.5,77,25.6
318.5,77,25.6
320.5,74,25.6
327.9,37,25.6
335.3,17,25.6
340.2,19,26.3
340.3,20,26.3
339.5,18,26.3
340.0,16,26.8
339.6,15,26.8
340.0,14,26.8
339.7,18,26.8
339.4,17,26.8
338.6,17,26.8
338.1,22,26.9
338.6,21,26.9
338.7,20,26.9
338.6,19,26.9
338.6,13,26.9
338.6,16,26.9
338.6,17,26.9
338.6,14,26.9
335.5,14,26.9
332.5,20,26.9
334.8,20,26.8
336.6,20,26.8
337.0,15,26.8
336.8,12,26.9
337.0,11,26.9
336.8,19,26.9
337.0,10,26.9
336.9,13,26.9
338.0,20,26.9
342.4,21,27.0
349.7,23,27.0
356.5,20,27.0
358.5,19,27.5
357.0,21,27.5
357.6,20,27.5
357.3,21,27.5
357.5,22,27.5
357.3,21,27.5
357.5,22,27.5
357.4,22,27.5
357.1,23,27.5
357.2,22,27.5
357.4,22,27.6
357.3,23,27.6
357.3,23,27.6
357.3,22,27.6
357.3,22,27.6
357.3,22,27.6
357.3,22,27.5
357.4,22,27.5
357.4,21,27.5
357.4,22,27.6
357.4,22,27.6
356.3,21,27.6
354.2,23,27.7
356.2,19,27.7
358.1,16,27.7
357.6,16,27.7
356.9,16,27.7
357.5,17,27.7
357.3,15,27.7
357.3,17,27.7
357.4,16,27.7
0.6,18,27.7
8.9,16,27.7
16.3,19,27.7
20.2,16,27.4
19.2,26,27.1
18.6,19,27.1
19.2,22,27.1
19.0,13,26.9
19.3,15,26.9
19.1,10,26.9
18.5,24,26.8
17.3,12,26.8
17.5,16,26.8
17.7,22,27.0
17.7,23,27.0
17.7,15,27.0
17.6,16,26.9
17.7,10,26.9
17.7,27,26.9
17.7,11,27.0
14.5,14,27.0
11.6,13,27.0
12.7,18,27.2
14.4,14,27.2
12.9,16,27.2
13.2,17,27.2
13.6,14,27.2
13.1,17,27.2
13.5,16,27.2
13.2,15,27.2
15.2,17,27.2
20.9,18,27.2
26.1,31,27.0
30.7,25,27.0
36.2,22,27.0
37.3,22,26.1
36.5,23,26.1
36.9,19,26.1
36.7,20,25.9
36.8,19,25.9
36.9,20,25.9
36.9,21,25.9
36.4,18,25.9
36.7,19,25.9
36.8,19,25.9
36.8,19,25.9
36.8,19,25.9
36.8,19,25.9
36.8,19,25.9
36.9,19,25.9
